Code,Name,Brand,Description,Barcode,Supplier,Price Ex,Price In,Value,Stock
BR-CHEST-SIRN-0003,CHEST OF DRAWERS SIRENE NAT,Sleep Comfort,CHEST OF DRAWERS SIRENE COLOR NATALY,,Sleep Comfort s.a.l,"7,021.28 ","8,250.00 ",921.38 ,1
BR-CHEST-TALA-0001,CHEST OF DRAWERS TALAMO,Sleep Comfort,CHEST OF DRAWERS TALAMO COLOR TALAMO NO EXTERNAL HANDLES,,Sleep Comfort s.a.l,"4,868.09 ","5,720.00 ",617.76 ,2
BR-CHEST-TWIN-0001,CHEST OF DRAWERS TWIN,Sleep Comfort,CHEST OF DRAWERS TWIN,,Sleep Comfort s.a.l,"7,021.28 ","8,250.00 ","1,181.26 ",1
BR-CHEST-ZEN-0001,CHEST OF DRAWERS ZEN,Sleep Comfort,CHEST OF DRAWERS ZEN COLOR ZEN WOODEN ZEN COLORED HANDLES,,Sleep Comfort s.a.l,"6,468.09 ","7,600.00 ",919.10 ,7
BR-HB-0001,HEADBOARD SANDY 120 CM,Sleep Comfort,HEADBOARD SANDY SIZE 120 CM,,Sleep Comfort s.a.l,795.74 ,935.00 ,245.26 ,1
BR-HB-0002,HEADBOARD JACKY 160 CM,Sleep Comfort,HEADBOARD JACKY SIZE 160 CM,,Sleep Comfort s.a.l,"1,591.49 ","1,870.00 ",251.33 ,8
BR-MATT-0001,FLORA MATTRESS 105 X 195 CM,Sleep Comfort,FLORA MATTRESS 105 X 195 CM,,Sleep Comfort s.a.l,"2,042.55 ","2,400.00 ",169.65 ,91
BR-MATT-0002,FLORA MATTRESS 120 X 195 CM,Sleep Comfort,FLORA MATTRESS 120 X 195 CM,,Sleep Comfort s.a.l,"2,382.98 ","2,800.00 ",191.40 ,79
BR-MATT-0003,FLORA MATTRESS 160 X 195 CM,Sleep Comfort,FLORA MATTRESS 160 X 195 CM,,Sleep Comfort s.a.l,"2,893.62 ","3,400.00 ",256.65 ,62
BR-MATT-0004,FLORA MATTRESS 180 X 195 CM,Sleep Comfort,FLORA MATTRESS 180 X 195 CM,,Sleep Comfort s.a.l,"3,191.49 ","3,750.00 ",302.33 ,66
BR-MATT-0005,MOS. FREE MATTRESS 105 X 195CM,Sleep Comfort,MOSQUITO FREE MATTRESS SIZE 105 X 195 CM,,Sleep Comfort s.a.l,"2,382.98 ","2,800.00 ",342.00 ,4
BR-MATT-0006,MOS. FREE MATTRESS 120 X 195CM,Sleep Comfort,MOSQUITO FREE MATTRESS SIZE 120 X 195 CM,,Sleep Comfort s.a.l,"2,659.57 ","3,125.00 ",391.50 ,2
BR-MATT-0007,MOS. FREE MATTRESS 160 X 195CM,Sleep Comfort,MOSQUITO FREE MATTRESS SIZE 160 X 195 CM,,Sleep Comfort s.a.l,"3,510.64 ","4,125.00 ",522.00 ,15
BR-MATT-0008,MOS. FREE MATTRESS 180 X 195CM,Sleep Comfort,MOSQUITO FREE MATTRESS SIZE 180 X 195 CM,,Sleep Comfort s.a.l,"4,255.32 ","5,000.00 ",587.00 ,2
BR-MATT-0009,FLORA MATTRESS 140 X 195,Sleep Comfort,MATTRESS FLORA 140 X 195 CM,,Sleep Comfort s.a.l,"2,659.57 ","3,125.00 ",319.87 ,3
BR-MATT-0010,DAISY MATTRESS 105 X 195 CM,Sleep Comfort,MATTRESS DAISY 105 X 195 CM,,Sleep Comfort s.a.l,"1,914.89 ","2,250.00 ",648.38 ,1
BR-MATT-0011,DAISY MATTRESS 160 X 195 CM,Sleep Comfort,MATTRESS DAISY 160 X 195 CM,,Sleep Comfort s.a.l,"5,872.34 ","6,900.00 ",987.00 ,6
BR-MATT-0012,DAISY MATTRESS 180 X 195 CM,Sleep Comfort,MATTRESS DAISY 180 X 195 CM,,Sleep Comfort s.a.l,"6,638.30 ","7,800.00 ","1,200.65 ",6
